"st_abbreviation","2019","2020","2021","2022","2023","code","btu_2019","btu_2020","btu_2021"
"AK","733374","732964","734923","733276","733406","ABICB","-10","-7","-8"
"AK","733374","732964","734923","733276","733406","ARICB","11973","12391","13425"
"AK","733374","732964","734923","733276","733406","ARTCB","11973","12391","13425"
"AK","733374","732964","734923","733276","733406","ARTXB","11973","12391","13425"
"AK","733374","732964","734923","733276","733406","AVACB","1245","915","1037"
"AK","733374","732964","734923","733276","733406","AVTCB","1245","915","1037"
"AK","733374","732964","734923","733276","733406","AVTXB","1245","915","1037"
"AK","733374","732964","734923","733276","733406","B1ACB","0","0","0"
"AK","733374","732964","734923","733276","733406","B1TCB","0","0","0"
"AK","733374","732964","734923","733276","733406","BDACB","865","865","865"
"AK","733374","732964","734923","733276","733406","BDLCB","0","0","0"
"AK","733374","732964","734923","733276","733406","BDTCB","865","865","865"
"AK","733374","732964","734923","733276","733406","BFLCB","0","0","0"
"AK","733374","732964","734923","733276","733406","BFTCB","865","865","865"
"AK","733374","732964","734923","733276","733406","BMTCB","7668","8687","8503"
"AK","733374","732964","734923","733276","733406","BQICB","0","0","0"
"AK","733374","732964","734923","733276","733406","BQTCB","0","0","0"
"AK","733374","732964","734923","733276","733406","BTGBP","45","45","45"
"AK","733374","732964","734923","733276","733406","BYICB","0","0","0"
"AK","733374","732964","734923","733276","733406","BYTCB","0","0","0"
"AK","733374","732964","734923","733276","733406","CLACB","0","0","0"
"AK","733374","732964","734923","733276","733406","CLCCB","6568","7108","7367"
"AK","733374","732964","734923","733276","733406","CLEIB","11035","11400","11305"
"AK","733374","732964","734923","733276","733406","CLGBP","152","169","169"
"AK","733374","732964","734923","733276","733406","CLICB","17","20","22"
"AK","733374","732964","734923","733276","733406","CLKCB","0","0","0"
"AK","733374","732964","734923","733276","733406","CLOCB","17","20","22"
"AK","733374","732964","734923","733276","733406","CLRCB","0","0","0"
"AK","733374","732964","734923","733276","733406","CLTCB","17620","18527","18694"
"AK","733374","732964","734923","733276","733406","CLTXB","6585","7127","7389"
"AK","733374","732964","734923","733276","733406","COICB","0","0","0"
"AK","733374","732964","734923","733276","733406","DFACB","36849","30027","29651"
"AK","733374","732964","734923","733276","733406","DFCCB","7309","6584","8604"
"AK","733374","732964","734923","733276","733406","DFEIB","5016","5826","4919"
"AK","733374","732964","734923","733276","733406","DFICB","9066","9298","15171"
"AK","733374","732964","734923","733276","733406","DFRCB","6574","7130","7955"
"AK","733374","732964","734923","733276","733406","DFTCB","64813","58865","66300"
"AK","733374","732964","734923","733276","733406","DFTXB","59797","53040","61381"
"AK","733374","732964","734923","733276","733406","DKEIB","5016","5826","4919"
"AK","733374","732964","734923","733276","733406","DMTCB","63451","57678","65796"
"AK","733374","732964","734923","733276","733406","ELEXB","0","0","0"
"AK","733374","732964","734923","733276","733406","ELGBP","2760","2767","2774"
"AK","733374","732964","734923","733276","733406","ELIMB","0","0","0"
"AK","733374","732964","734923","733276","733406","ELISB","0","0","0"
"AK","733374","732964","734923","733276","733406","ELNIB","0","0","0"
"AK","733374","732964","734923","733276","733406","EMACB","0","0","0"
"AK","733374","732964","734923","733276","733406","EMCCB","0","0","0"
"AK","733374","732964","734923","733276","733406","EMICB","0","0","0"
"AK","733374","732964","734923","733276","733406","EMLCB","0","0","0"
"AK","733374","732964","734923","733276","733406","EMTCB","0","0","0"
"AK","733374","732964","734923","733276","733406","EQICB","0","0","0"
"AK","733374","732964","734923","733276","733406","EQTCB","0","0","0"
"AK","733374","732964","734923","733276","733406","ESACB","0","0","0"
"AK","733374","732964","734923","733276","733406","ESCCB","9004","8612","8730"
"AK","733374","732964","734923","733276","733406","ESICB","4271","4451","4527"
"AK","733374","732964","734923","733276","733406","ESRCB","6579","7128","7110"
"AK","733374","732964","734923","733276","733406","ESTCB","19854","20191","20367"
"AK","733374","732964","734923","733276","733406","ESTXB","19854","20191","20367"
"AK","733374","732964","734923","733276","733406","EYICB","0","0","0"
"AK","733374","732964","734923","733276","733406","EYTCB","0","0","0"
"AK","733374","732964","734923","733276","733406","FFGBP","2175","2182","2185"
"AK","733374","732964","734923","733276","733406","FFTCB","581822","614417","659295"
"AK","733374","732964","734923","733276","733406","FNICB","0","0","0"
"AK","733374","732964","734923","733276","733406","FOICB","0","0","0"
"AK","733374","732964","734923","733276","733406","FSICB","0","0","0"
"AK","733374","732964","734923","733276","733406","GDPRV","54728.2","50475.2","57349.4"
"AK","733374","732964","734923","733276","733406","GDPRX","53434","50705","50869"
"AK","733374","732964","734923","733276","733406","GECCB","85","85","85"
"AK","733374","732964","734923","733276","733406","GEEGB","0","0","0"
"AK","733374","732964","734923","733276","733406","GEGBP","0","0","0"
