state,code,btu_2019,2020_btu,2021
AK,ABICB,-10,-7,-8
AK,ARICB,11973,12391,13425
AK,ARTCB,11973,12391,13425
AK,ARTXB,11973,12391,13425
AK,AVACB,1245,915,1037
AK,AVTCB,1245,915,1037
AK,AVTXB,1245,915,1037
AK,B1ACB,0,0,0
AK,B1TCB,0,0,0
AK,BDACB,865,865,865
AK,BDLCB,0,0,0
AK,BDTCB,865,865,865
AK,BFLCB,0,0,0
AK,BFTCB,865,865,865
AK,BMTCB,7668,8687,8503
AK,BQICB,0,0,0
AK,BQTCB,0,0,0
AK,BTGBP,45,45,45
AK,BYICB,0,0,0
AK,BYTCB,0,0,0
AK,CLACB,0,0,0
AK,CLCCB,6568,7108,7367
AK,CLEIB,11035,11400,11305
AK,CLGBP,152,169,169
AK,CLICB,17,20,22
AK,CLKCB,0,0,0
AK,CLOCB,17,20,22
AK,CLRCB,0,0,0
AK,CLTCB,17620,18527,18694
AK,CLTXB,6585,7127,7389
AK,COICB,0,0,0
AK,DFACB,36849,30027,29651
AK,DFCCB,7309,6584,8604
AK,DFEIB,5016,5826,4919
AK,DFICB,9066,9298,15171
AK,DFRCB,6574,7130,7955
AK,DFTCB,64813,58865,66300
AK,DFTXB,59797,53040,61381
AK,DKEIB,5016,5826,4919
AK,DMTCB,63451,57678,65796
AK,ELEXB,0,0,0
AK,ELGBP,2760,2767,2774
AK,ELIMB,0,0,0
AK,ELISB,0,0,0
AK,ELNIB,0,0,0
AK,EMACB,0,0,0
AK,EMCCB,0,0,0
AK,EMICB,0,0,0
AK,EMLCB,0,0,0
AK,EMTCB,0,0,0
AK,EQICB,0,0,0
AK,EQTCB,0,0,0
AK,ESACB,0,0,0
AK,ESCCB,9004,8612,8730
AK,ESICB,4271,4451,4527
AK,ESRCB,6579,7128,7110
AK,ESTCB,19854,20191,20367
AK,ESTXB,19854,20191,20367
AK,EYICB,0,0,0
AK,EYTCB,0,0,0
AK,FFGBP,2175,2182,2185
AK,FFTCB,581822,614417,659295
AK,FNICB,0,0,0
AK,FOICB,0,0,0
AK,FSICB,0,0,0
AK,GDPRV,54728.2,50475.2,57349.4
AK,GDPRX,53434,50705,50869
AK,GECCB,85,85,85
AK,GEEGB,0,0,0
AK,GEGBP,0,0,0
AK,GEICB,0,0,0
AK,GERCB,101,101,101
AK,GETCB,186,186,186
AK,GETXB,186,186,186
AK,HLACB,16,1,6
AK,HLCCB,786,708,816
AK,HLICB,129,117,126
AK,HLRCB,398,436,419
AK,HLTCB,1329,1263,1367
AK,HLTXB,1329,1263,1367
AK,HPGBP,0,0,0
AK,HVGBP,471,471,476
AK,HYCCB,1160,1423,1496
AK,HYEGB,13286,14042,13440
AK,HYICB,0,0,0
AK,HYTCB,14446,15465,14937
AK,HYTXB,1160,1423,1496
AK,IQICB,0,0,0
AK,IQTCB,0,0,0
AK,IYICB,0,0,0
AK,IYTCB,0,0,0
AK,JFACB,93266,104439,126719
AK,JFTCB,93266,104439,126719
AK,JFTXB,93266,104439,126719
AK,KSCCB,0,0,0
AK,KSICB,0,0,0
AK,KSRCB,0,0,0
AK,KSTCB,0,0,1
AK,KSTXB,0,0,1
AK,LOACB,0,0,0
AK,LOCCB,15961,14977,15424
AK,LOICB,7571,7740,7998
AK,LORCB,11663,12395,12562
AK,LOTCB,35194,35111,35985
AK,LOTXB,35194,35111,35985
AK,LUACB,543,507,417
AK,LUICB,1136,1049,904
AK,LUTCB,1679,1556,1321
AK,LUTXB,1679,1556,1321
AK,MBICB,0,0,0
AK,MGACB,32213,28453,30930
AK,MGCCB,527,528,536
AK,MGICB,525,539,524
AK,MGTCB,33265,29520,31989
AK,MGTXB,33265,29520,31989
AK,MMTCB,33265,29520,31989
AK,MSICB,0,0,0
AK,NAICB,0,0,0
AK,NGACB,357,382,484
AK,NGCCB,14318,16330,16439
AK,NGEIB,24442,22908,25518
AK,NGGBP,1283,1273,1273
AK,NGICB,286627,313238,321064
AK,NGRCB,17640,20709,21054
AK,NGTCB,343384,373567,384560
AK,NGTPB,468.1,509.7,523.8
AK,NGTXB,318941,350659,359042
AK,NNTCB,343384,373567,384560
AK,NUEGB,0,0,0
AK,NUETB,0,0,0
AK,NUGBP,0,0,0
AK,OHICB,0,0,0
AK,OJGBP,0,0,0
AK,OMTCB,14609,14560,14385
AK,OPACB,0,0,498
AK,OPICB,14609,14560,14385
AK,OPTCB,14609,14560,14883
AK,OPTXB,14609,14560,14883
AK,OTGBP,2,2,2
