,state_abv,year,Administered,Administered Janssen,Administered Moderna,Administered Pfizer,Administered Novavax,Administered Unknown,Population 2020,Population 2021,Population 2022,Population 2023,Administered % of 2020,Administered Janssen % of 2020,Administered Moderna % of 2020,Administered Pfizer % of 2020,Administered Novavax % of 2020,Administered Unknown % of 2020,Administered % of 2021,Administered Janssen % of 2021,Administered Moderna % of 2021,Administered Pfizer % of 2021,Administered Novavax % of 2021,Administered Unknown % of 2021,Administered % of 2022,Administered Janssen % of 2022,Administered Moderna % of 2022,Administered Pfizer % of 2022,Administered Novavax % of 2022,Administered Unknown % of 2022,Administered % of 2023,Administered Janssen % of 2023,Administered Moderna % of 2023,Administered Pfizer % of 2023,Administered Novavax % of 2023,Administered Unknown % of 2023
0,AK,2022,114091.0,328.0,40201.0,73192.0,246.0,124.0,16125208.0,16168306.0,16132072.0,16134932.0,0.7075319586575255,0.0020340822890470623,0.2493053112865273,0.45389802103637983,0.0015255617167852966,0.0007689823287860846,0.7056459718167135,0.002028660269047357,0.24864076669503907,0.4526881171101042,0.0015214952017855179,0.0007669325407374155,0.7072309124333191,0.002033216811826776,0.24919923491539092,0.45370489296105304,0.001524912608870082,0.0007686551361784153,0.7071055521027296,0.0020328564136495894,0.24915506306441207,0.45362447142634377,0.0015246423102371922,0.00076851888808704
1,AK,2023,24266.0,87.0,-29409.0,-49925.0,93.0,160.0,13926316.0,13963537.0,13932244.0,13934714.0,0.17424565118298335,0.0006247165438440432,-0.2111757337690743,-0.3584939477174007,0.0006678004434194945,0.0011489039886787003,0.1737811845236633,0.0006230513085617203,-0.21061282682174293,-0.35753835149360796,0.0006660203643245976,0.0011458414870100606,0.17417151178230872,0.0006244507345693918,-0.21108588106840503,-0.3583414129123779,0.0006675163024707291,0.0011484151440356628,0.17414063898261564,0.0006243400474527142,-0.21104846500617092,-0.35827789504685925,0.0006673979817597979,0.0011482115815222328
2,AL,2022,440804.0,1494.0,170339.0,268191.0,601.0,179.0,110701008.0,111108360.0,111625866.0,112386296.0,0.39819330281075666,0.0013495812070654317,0.15387303429070853,0.2422660866827879,0.000542903818906509,0.00016169681128829467,0.39673342311955645,0.0013446332931203377,0.1533088959282632,0.24137787651622253,0.000540913393015611,0.00016110398893476603,0.3948941368123406,0.0013383994709613273,0.1525981442329863,0.2402588303323891,0.0005384056774081377,0.00016035709859576813,0.39222219762452176,0.001329343570500802,0.15156563216568683,0.23863318709249037,0.0005347627080796399,0.0001592720877641523
3,AL,2023,88457.0,233.0,-120221.0,-174464.0,196.0,95.0,95605416.0,95957220.0,96404157.0,97060892.0,0.09252300099818613,0.00024371004253566556,-0.1257470601874689,-0.1824833856692805,0.00020500930616734097,9.936675554029282e-05,0.09218378773374218,0.00024281653845328156,-0.12528603892442905,-0.1818143543549928,0.000204257688999327,9.90024513006942e-05,0.0917564166864713,0.00024169082252334823,-0.12470520332437532,-0.18097144918761127,0.0002033107348265075,9.854346841080722e-05,0.09113557291437215,0.00024005549011439127,-0.12386142093151174,-0.1797469571987861,0.00020193509039665531,9.787670197797069e-05
4,AR,2022,407704.0,1205.0,164683.0,238074.0,3159.0,583.0,66315656.0,66625746.0,67020888.0,67490104.0,0.614792983424608,0.0018170671492716592,0.24833200775394576,0.35900119875161907,0.004763581016223379,0.000879128753548031,0.6119316097413754,0.00180861014299187,0.2471762192351287,0.3573303329316568,0.0047414103250716325,0.0008750371065263569,0.6083237810874723,0.001797946932604056,0.24571891676517327,0.35522358342969135,0.004713455900494783,0.0008698780595088504,0.6040944906530297,0.0017854469449328453,0.2440105885745857,0.3527539385626076,0.004680686223272081,0.0008638303476314097
5,AR,2023,70097.0,348.0,-116614.0,-154390.0,214.0,368.0,57272612.0,57540417.0,57881676.0,58286908.0,0.12239183363943659,0.0006076202705754017,-0.2036121558416089,-0.26957038383372495,0.00037365154569866656,0.0006425409757808846,0.12182219673520962,0.000604792280181077,-0.202664502761598,-0.26831574752056453,0.0003719124941343404,0.0006395504572029779,0.12110395697595211,0.0006012265436128697,-0.20146963263468734,-0.26673381054135337,0.000369719771072282,0.0006357797932457934,0.1202619977714378,0.0005970465957809943,-0.20006894172530132,-0.2648793790880106,0.00036714934338256543,0.0006313596185270284
6,AZ,2022,1525266.0,9067.0,530670.0,973833.0,1399.0,10297.0,158107026.0,159994714.0,162045048.0,163489568.0,0.9647047563844506,0.005734723009716216,0.3356397330501935,0.6159327796096803,0.0008848436627983883,0.00651267705206219,0.9533227454002011,0.005667062225568277,0.3316797078683487,0.6086657337941803,0.0008744038881184537,0.006435837623985502,0.9412604820852039,0.0055953576563475115,0.3274830095394214,0.6009643688710562,0.0008633401743939747,0.0063544058439848165,0.9329439294866814,0.0055459196026501215,0.3245895175403485,0.5956545190699875,0.0008557120904497098,0.006298261183245648
7,AZ,2023,344917.0,3779.0,-326519.0,-530907.0,896.0,10114.0,136546977.0,138177253.0,139947996.0,141195536.0,0.2525995137922387,0.0027675457069986985,-0.2391257625571601,-0.3888090470139079,0.0006561844280155686,0.007406974670702523,0.24961923363753655,0.0027348929856059593,-0.23630445164516337,-0.3842217068825359,0.0006484424755498649,0.007319583926017113,0.24646083535201177,0.002700288755831845,-0.2333145234891395,-0.37936020177094926,0.0006402378209117049,0.007226970223996634,0.24428321869892541,0.002676430223686392,-0.23125306171152604,-0.3760083463261898,0.0006345809686221242,0.007163115978397504
8,CA,2022,7740358.0,-8182.0,2789696.0,4953917.0,7913.0,-2986.0,869070400.0,861191320.0,858893552.0,857234246.0,0.8906479843290026,-0.0009414657316599437,0.32099770053151044,0.5700248219246681,0.0009105131183848857,-0.00034358551390083013,0.8987965647401092,-0.0009500792460379187,0.32393452363175235,0.5752400059025211,0.0009188434458442986,-0.0003467289939708171,0.9012010838800661,-0.0009526209599487131,0.32480113437852426,0.5767789254517538,0.000921301595706938,-0.00034765658597003883,0.9029454943170808,-0.000954464901300735,0.3254298358957535,0.5778953679365721,0.0009230849137121384,-0.00034832952765631814
9,CA,2023,1883839.0,3907.0,-2442291.0,-4021306.0,2601.0,433.0,750560800.0,743756140.0,741771704.0,740338667.0,0.25099085910162106,0.0005205441051544391,-0.3253954909449041,-0.5357735176150953,0.0003465408798327864,5.7690196450440786e-05,0.2532871863081359,0.0005253065877210775,-0.3283725496370356,-0.540675334794547,0.0003497113986850583,5.821800677840455e-05,0.25396479669437483,0.0005267119221360863,-0.32925103328018024,-0.5421217846832291,0.00035064696940771955,5.837375538390718e-05,0.254456383810627,0.0005277314523948808,-0.3298883482469787,-0.5431711430520216,0.00035132569943155487,5.8486746579724436e-05
10,CO,2022,1466947.0,3151.0,438371.0,1017049.0,1714.0,6662.0,127274818.0,127855112.0,128502858.0,129307420.0,1.1525822806519355,0.0024757450448681844,0.3444286991634119,0.7990968016941105,0.0013466921634097328,0.005234342586135146,1.1473510734557097,0.0024645084194990967,0.34286544600578817,0.7954699535205131,0.0013405799527202323,0.0052105855571891405,1.14156760622398,0.002452085540385413,0.34113715976651665,0.7914602179509502,0.001333822474205204,0.005184320491922445,1.1344646734116264,0.0024368284511437936,0.3390145747243275,0.786535683721785,0.001325523314903352,0.005152063199466821
11,CO,2023,268347.0,1315.0,-312971.0,-760099.0,629.0,2787.0,109919161.0,110420324.0,110979741.0,111674590.0,0.244131230222909,0.0011963337311135407,-0.28472833776451406,-0.6915072796088755,0.0005722387200535491,0.0025354997023676333,0.24302319562112495,0.0011909039498924129,-0.2834360457047744,-0.6883687463188389,0.0005696415091120362,0.0025239918694677983,0.2417981854904491,0.001184900945119344,-0.2820073260037614,-0.6848988771743485,0.0005667701098707736,0.002511269151367005,0.2402936961756475,0.001177528388508075,-0.28025265192377247,-0.6806373768643341,0.0005632436170126077,0.002495643816556658
12,CT,2022,925182.0,1364.0,375687.0,547472.0,626.0,33.0,78706892.0,79281202.0,79391532.0,79577872.0,1.175477745964102,0.0017330121484151605,0.47732414589563515,0.6955833041914551,0.0007953560153283654,4.192771326810872e-05,1.1669626300569964,0.0017204582745856958,0.47386642800900014,0.690544525296173,0.0007895944867233471,4.162399051417006e-05,1.165340908146224,0.0017180673626502132,0.4732078982932336,0.6895848791531067,0.0007884971913629277,4.1566145870569673e-05,1.1626121392137754,0.0017140443262921132,0.47209983197339084,0.6879701432579147,0.0007866508418320109,4.1468814345776925e-05
13,CT,2023,157464.0,328.0,-320536.0,-446164.0,116.0,83.0,67974134.0,68470129.0,68565414.0,68726344.0,0.23165282252805164,0.0004825364895417424,-0.47155584210899987,-0.6563732021948232,0.00017065314874037233,0.00012210527021940434,0.2299747383271324,0.0004790410136367641,-0.4681399095947373,-0.6516184597811989,0.0001694169438471483,0.00012122074430442507,0.22965514362678538,0.00047837529282620535,-0.46748933799189196,-0.6507129089893631,0.00016918150599951165,0.0001210522844651678,0.22911738182959362,0.0004772551265057836,-0.4663946622855422,-0.6491891959217269,0.00016878534961789905,0.00012076882774384159
14,DC,2022,289713.0,1365.0,95376.0,190155.0,168.0,2649.0,14758458.0,14718814.0,14760878.0,14937384.0,1.963030284058131,0.009248933730068546,0.6462463761458006,1.2884476142426262,0.001138330305239206,0.017949029634396766,1.9683175560204782,0.009273845025828847,0.6479869913431884,1.2919179493673878,0.0011413963108712428,0.01799737397320192,1.962708451353639,0.009247417396173858,0.6461404260640864,1.2882363772669891,0.0011381436795290904,0.01794608694686048,1.939516316913323,0.00913814627782214,0.6385053768451022,1.2730140699335306,0.0011246949265011866,0.017734028930366925
