,date,state_abv,Administered,Administered Janssen,Administered Moderna,Administered Pfizer,Administered Novavax,Administered Unknown
556,2022-08-03,AK,4014.0,26.0,1679.0,2303.0,0.0,6.0
557,2022-08-10,AK,3294.0,13.0,1270.0,1990.0,12.0,9.0
558,2022-08-17,AK,184.0,1.0,105.0,73.0,1.0,4.0
559,2022-08-24,AK,5141.0,27.0,1775.0,3299.0,16.0,24.0
560,2022-08-31,AK,2272.0,27.0,781.0,1443.0,10.0,11.0
561,2022-09-07,AK,118.0,1.0,55.0,57.0,1.0,4.0
562,2022-09-14,AK,4206.0,26.0,1414.0,2742.0,19.0,5.0
563,2022-09-21,AK,6918.0,15.0,2078.0,4792.0,25.0,8.0
564,2022-09-28,AK,8694.0,14.0,2032.0,6610.0,28.0,10.0
565,2022-10-05,AK,10483.0,97.0,1983.0,8465.0,24.0,-86.0
566,2022-10-12,AK,9630.0,9.0,3411.0,6184.0,16.0,10.0
567,2022-10-19,AK,8515.0,7.0,3585.0,4917.0,9.0,-3.0
568,2022-10-26,AK,8872.0,5.0,3684.0,5158.0,14.0,11.0
569,2022-11-02,AK,7487.0,8.0,3246.0,4216.0,10.0,7.0
570,2022-11-09,AK,6658.0,6.0,2492.0,4120.0,16.0,24.0
571,2022-11-16,AK,6344.0,10.0,2457.0,3845.0,12.0,20.0
572,2022-11-23,AK,5198.0,6.0,2004.0,3164.0,9.0,15.0
573,2022-11-30,AK,3158.0,6.0,1106.0,2034.0,6.0,6.0
574,2022-12-07,AK,4225.0,9.0,1725.0,2477.0,4.0,10.0
575,2022-12-14,AK,3135.0,6.0,1164.0,1952.0,3.0,10.0
576,2022-12-21,AK,3224.0,6.0,1304.0,1904.0,8.0,2.0
577,2022-12-28,AK,2321.0,3.0,851.0,1447.0,3.0,17.0
578,2023-01-04,AK,2178.0,2.0,841.0,1311.0,2.0,22.0
579,2023-01-11,AK,2166.0,5.0,794.0,1349.0,1.0,17.0
580,2023-01-18,AK,2720.0,7.0,947.0,1749.0,10.0,7.0
581,2023-01-25,AK,1578.0,3.0,640.0,922.0,2.0,11.0
582,2023-02-01,AK,1574.0,2.0,646.0,910.0,3.0,13.0
583,2023-02-08,AK,1378.0,9.0,466.0,888.0,3.0,12.0
584,2023-02-15,AK,1108.0,6.0,407.0,677.0,12.0,6.0
585,2023-02-22,AK,1361.0,7.0,529.0,810.0,7.0,8.0
586,2023-03-01,AK,737.0,4.0,273.0,452.0,6.0,2.0
587,2023-03-08,AK,957.0,2.0,343.0,602.0,6.0,4.0
588,2023-03-15,AK,861.0,3.0,266.0,581.0,5.0,6.0
589,2023-03-22,AK,946.0,4.0,388.0,544.0,8.0,2.0
590,2023-03-29,AK,984.0,8.0,-36294.0,-61326.0,6.0,9.0
591,2023-04-05,AK,589.0,4.0,65.0,128.0,2.0,9.0
592,2023-04-12,AK,690.0,5.0,80.0,141.0,3.0,9.0
593,2023-04-19,AK,708.0,1.0,98.0,166.0,3.0,1.0
594,2023-04-26,AK,839.0,3.0,42.0,76.0,8.0,5.0
595,2023-05-03,AK,1310.0,5.0,24.0,54.0,3.0,8.0
596,2023-05-10,AK,1582.0,7.0,36.0,41.0,3.0,9.0
1153,2022-08-03,AL,20992.0,104.0,8437.0,12436.0,11.0,4.0
1154,2022-08-10,AL,15893.0,76.0,5874.0,9917.0,26.0,0.0
1155,2022-08-17,AL,13001.0,72.0,4742.0,8151.0,35.0,1.0
1156,2022-08-24,AL,11325.0,63.0,3962.0,7272.0,27.0,1.0
1157,2022-08-31,AL,10123.0,60.0,3873.0,6135.0,42.0,13.0
1158,2022-09-07,AL,6421.0,86.0,2200.0,4088.0,44.0,3.0
1159,2022-09-14,AL,11718.0,63.0,1381.0,10232.0,41.0,1.0
1160,2022-09-21,AL,15787.0,32.0,1250.0,14463.0,42.0,0.0
1161,2022-09-28,AL,18121.0,59.0,1065.0,16970.0,24.0,3.0
1162,2022-10-05,AL,19107.0,57.0,1379.0,17515.0,32.0,124.0
