date,state_abv,Distributed,Distributed Janssen,Distributed Moderna,Distributed Pfizer,Distributed Novavax,Distributed Unknown,Administered,Administered Janssen,Administered Moderna,Administered Pfizer,Administered Novavax,Administerd Unknown
12/14/2020,AK,4875.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
12/15/2020,AK,12675.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
12/16/2020,AK,26325.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0
12/17/2020,AK,26325.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,,0.0
12/18/2020,AK,26325.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,,0.0
12/19/2020,AK,26325.0,0.0,0.0,0.0,,0.0,1607.0,0.0,0.0,1607.0,,0.0
12/20/2020,AK,26325.0,0.0,0.0,0.0,,0.0,4239.0,0.0,1.0,4238.0,,0.0
12/21/2020,AK,36900.0,0.0,0.0,0.0,,0.0,5125.0,0.0,1.0,5124.0,,0.0
12/22/2020,AK,42175.0,0.0,0.0,0.0,,0.0,5615.0,0.0,1.0,5614.0,,0.0
12/23/2020,AK,45150.0,0.0,0.0,0.0,,0.0,6822.0,0.0,1.0,6821.0,,0.0
12/24/2020,AK,45250.0,0.0,0.0,0.0,,0.0,8578.0,0.0,63.0,8514.0,,1.0
12/25/2020,AK,45250.0,0.0,0.0,0.0,,0.0,10612.0,0.0,242.0,10369.0,,1.0
12/26/2020,AK,45250.0,0.0,0.0,0.0,,0.0,11427.0,0.0,562.0,10864.0,,1.0
12/27/2020,AK,45250.0,0.0,0.0,0.0,,0.0,11427.0,0.0,562.0,10864.0,,1.0
12/28/2020,AK,48050.0,0.0,0.0,0.0,,0.0,11647.0,0.0,563.0,11083.0,,1.0
12/29/2020,AK,48250.0,0.0,0.0,0.0,,0.0,11780.0,0.0,575.0,11204.0,,1.0
12/30/2020,AK,54775.0,0.0,0.0,0.0,,0.0,12907.0,0.0,794.0,12112.0,,1.0
12/31/2020,AK,54975.0,0.0,0.0,0.0,,0.0,14550.0,0.0,1341.0,13205.0,,4.0
1/1/2021,AK,54975.0,0.0,0.0,0.0,,0.0,16504.0,0.0,2175.0,14323.0,,6.0
1/2/2021,AK,54975.0,0.0,0.0,0.0,,0.0,18401.0,0.0,3006.0,15386.0,,9.0
1/3/2021,AK,54975.0,0.0,0.0,0.0,,0.0,18684.0,0.0,3108.0,15567.0,,9.0
1/4/2021,AK,75475.0,0.0,0.0,0.0,,0.0,18937.0,0.0,3140.0,15788.0,,9.0
1/5/2021,AK,81550.0,0.0,0.0,0.0,,0.0,19050.0,0.0,3237.0,15804.0,,9.0
1/6/2021,AK,82725.0,0.0,0.0,0.0,,0.0,20106.0,0.0,3706.0,16391.0,,9.0
1/7/2021,AK,86625.0,0.0,0.0,0.0,,0.0,21830.0,0.0,4419.0,17402.0,,9.0
1/8/2021,AK,92775.0,0.0,0.0,0.0,,0.0,24562.0,0.0,5249.0,19303.0,,10.0
1/9/2021,AK,92875.0,0.0,0.0,0.0,,0.0,28539.0,0.0,6760.0,21769.0,,10.0
1/10/2021,AK,92875.0,0.0,0.0,0.0,,0.0,33263.0,0.0,8462.0,24791.0,,10.0
1/11/2021,AK,124250.0,0.0,0.0,0.0,,0.0,35027.0,0.0,9177.0,25840.0,,10.0
1/12/2021,AK,137900.0,0.0,0.0,0.0,,0.0,35838.0,0.0,9526.0,26302.0,,10.0
1/13/2021,AK,140075.0,0.0,0.0,0.0,,0.0,38680.0,0.0,10711.0,27958.0,,11.0
1/14/2021,AK,147975.0,0.0,0.0,0.0,,0.0,42596.0,0.0,11948.0,30635.0,,13.0
1/15/2021,AK,149650.0,0.0,0.0,0.0,,0.0,49039.0,0.0,13989.0,35037.0,,13.0
1/16/2021,AK,149650.0,0.0,0.0,0.0,,0.0,54193.0,0.0,16326.0,37854.0,,13.0
1/17/2021,AK,149650.0,0.0,0.0,0.0,,0.0,60438.0,0.0,20209.0,40216.0,,13.0
1/18/2021,AK,149650.0,0.0,0.0,0.0,,0.0,64730.0,0.0,23169.0,41548.0,,13.0
