,state,year,code,btu_per_person
0,AK,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.20040525025430408
1,AK,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.22446395730213217
2,AK,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.22386562946050131
3,AL,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1713136213764561
4,AL,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16303103581495842
5,AL,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.162433321849049
6,AR,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.19271921872561423
7,AR,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.18270418677604577
8,AR,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1818538437078063
9,AZ,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.14728421819689624
10,AZ,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.15640998775095546
11,AZ,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1545645939277719
12,CA,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.10191315682155784
13,CA,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.10522699426881874
14,CA,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.10618972100183267
15,CO,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.18301552191685516
16,CO,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1794486950277941
17,CO,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.17863423403829173
18,CT,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.20233632989379663
19,CT,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.19282834850091654
20,CT,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.19143150730736902
21,DE,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1788875352797021
22,DE,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1694429265361512
23,DE,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16724766415127762
24,FL,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.13532123551922778
25,FL,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1396272174267977
26,FL,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.13809597929668613
27,GA,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1675446488449305
28,GA,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16154202372444534
29,GA,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16067378504103422
30,HI,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.0667262659815265
31,HI,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.07093257147109837
32,HI,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.07115006445503527
33,IA,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.22379606240794728
34,IA,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.21128495247741708
35,IA,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.2108198267386796
36,ID,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.20939178964687946
37,ID,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.19970108238673384
38,ID,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1939132713095099
39,IL,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.2074648169047742
40,IL,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.19973992907312907
41,IL,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.20131413332391934
42,IN,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.20907112609613346
43,IN,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.19967438973483664
44,IN,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1989505705922013
45,KS,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.20860361456650903
46,KS,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.19735756557585726
47,KS,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.19736952278905057
48,KY,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.19913401180614593
49,KY,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1860774529713375
50,KY,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.18610036382997602
51,LA,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.17014117225247624
52,LA,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16172408470983154
53,LA,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16259700841595082
54,MA,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1833174011468615
55,MA,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.17303453285380524
56,MA,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.17317712895871265
57,MD,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.16747800357213796
58,MD,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1623622440327007
59,MD,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.1623265903325401
60,ME,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.2682417617081274
61,ME,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.2515534800958874
62,ME,2021,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.24894998284724182
63,MI,2019,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.22383498414415867
64,MI,2020,CLRCBDFRCBESRCBGERCBHLRCBKSRCBLORCBNGRCBPARCBPQRCBRERCBSFRCBSORCBTERCBTNRCBWDRCB,0.21573463102148457
