StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,11/5/2020,,,,,,,,18,9,8,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,11/9/2020,,,,,,,,21,12,9,,,,,9
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,11/16/2020,,,,,,,,30,19,11,,,,,10
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,11/19/2020,,,,,,,,31,19,12,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,11/23/2020,,,,,,,,34,21,12,,,,,5
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,12/2/2020,,,,,,,,40,27,12,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,12/7/2020,,,,,,,,49,32,14,,,,,13
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,12/10/2020,,,,,,,,51,36,14,,,,,11
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,12/14/2020,,,,,,,,53,38,14,,,,,9
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,12/17/2020,,,,,,,,57,42,14,,,,,9
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,12/21/2020,,,,,,,,58,42,14,,,,,7
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,12/23/2020,,,,,,,,59,43,14,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,12/28/2020,,,,,,,,64,47,15,,,,,7
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,12/31/2020,,,,,,,,64,47,15,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,1/4/2021,,,,,,,,67,50,15,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,1/14/2021,,,,,,,,70,52,16,,,,,5
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,1/21/2021,,,,,,,,75,57,16,,,,,6
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,1/25/2021,,,,,,,,75,57,16,,,,,5
Arkansas,AR,District,Yes,,,,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,Charter agency,500059,,,6/15/2020,1/28/2021,,,,,,,,77,58,16,,,,,5
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,10/19/2020,,,,,,,,50,36,14,,,,,9
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,10/22/2020,,,,,,,,53,39,14,,,,,9
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,10/26/2020,,,,,,,,54,40,14,,,,,5
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,10/29/2020,,,,,,,,58,43,14,,,,,7
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,11/2/2020,,,,,,,,61,47,14,,,,,6
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,11/5/2020,,,,,,,,64,49,15,,,,,9
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,11/9/2020,,,,,,,,68,52,16,,,,,9
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,11/16/2020,,,,,,,,74,57,17,,,,,10
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,11/19/2020,,,,,,,,85,63,21,,,,,17
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,11/23/2020,,,,,,,,86,65,21,,,,,13
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,11/25/2020,,,,,,,,96,73,23,,,,,17
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,11/30/2020,,,,,,,,105,79,25,,,,,21
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,12/2/2020,,,,,,,,111,82,27,,,,,21
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,12/7/2020,,,,,,,,115,83,30,,,,,12
Arkansas,AR,District,No,,,,ALMA SCHOOL DIST,Regular local school district,502250,,,6/15/2020,12/10/2020,,,,,,,,128,93,31,,,,,19
