StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Colorado,CO,School,Yes,5280 High School,Regular school,80336006756,,Regular local school district,803360,,,1/27/2021,2/14/2021,4,4,,,,,,,,,,,,,
Colorado,CO,School,Yes,5280 High School,Regular school,80336006756,,Regular local school district,803360,,,5/3/2021,5/29/2021,8,8,,,,,,,,,,,,,
Colorado,CO,School,No,Academia Ana Marie Sandoval,Regular school,80336001750,,Regular local school district,803360,,,11/13/2020,12/23/2020,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,Academy Charter School,Regular school,80345000492,,Regular local school district,803450,,,11/17/2020,12/8/2020,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Adams City High School,Regular school,80195000010,,Regular local school district,801950,,,5/5/2021,5/17/2021,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,Addenbrooke Classical Academy,Regular school,80480006587,,Regular local school district,804800,,,12/1/2020,12/15/2020,2,2,,,,,,,,,,,,,
Colorado,CO,School,Yes,Addenbrooke Classical Academy,Regular school,80480006587,,Regular local school district,804800,,,1/29/2021,3/16/2021,8,4,4,,,,,,,,,,,,
Colorado,CO,School,Yes,Addenbrooke Classical Academy,Regular school,80480006587,,Regular local school district,804800,,,4/21/2021,5/26/2021,5,5,,,,,,,,,,,,,
Colorado,CO,School,No,Air Academy High School,Regular school,80192000002,,Regular local school district,801920,,,11/13/2020,12/15/2020,3,,3,,,,,,,,,,,,
Colorado,CO,School,No,Air Academy High School,Regular school,80192000002,,Regular local school district,801920,,,3/18/2021,4/5/2021,2,1,1,,,,,,,,,,,,
Colorado,CO,School,No,Alameda International Jr/Sr High,Regular school,80480000691,,Regular local school district,804800,,,10/29/2020,12/7/2020,14,14,,,,,,,,,,,,,
Colorado,CO,School,,Alamosa Elementary K-2,,80207006798,,Regular local school district,802070,,,4/26/2021,5/21/2021,2,,2,,,,,,,,,,,,
Colorado,CO,School,No,Alamosa High School,Regular school,80207000027,,Regular local school district,802070,,,5/12/2021,6/18/2021,16,16,,,,,,,,,,,,,
Colorado,CO,School,No,Alicia Sanchez Elementary School,Regular school,80249001403,,Regular local school district,802490,,,5/18/2021,5/29/2021,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Altitude Elementary School,Regular school,80291006750,,Regular local school district,802910,,,3/10/2021,4/14/2021,3,3,,,,,,,,,,,,,
Colorado,CO,School,No,Altura Elementary School,Regular school,80234000052,,Regular local school district,802340,,,4/23/2021,5/18/2021,2,1,1,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Castle Pines,Regular school,80345001896,,Regular local school district,803450,,,11/24/2020,2/5/2021,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Castle Pines,Regular school,80345001896,,Regular local school district,803450,,,11/24/2020,2/5/2021,3,3,,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Lincoln Meadows,Regular school,80345001896,,Regular local school district,803450,,,2/18/2021,3/17/2021,14,12,2,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Lincoln Meadows,Regular school,80345001896,,Regular local school district,803450,,,5/12/2021,6/6/2021,4,4,,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Motsenbocker,Regular school,80345001896,,Regular local school district,803450,,,11/2/2020,11/28/2020,4,1,3,,,,,,,,,,,,
Colorado,CO,School,Yes,American Academy - Motsenbocker,Regular school,80345001896,,Regular local school district,803450,,,2/22/2021,3/17/2021,9,8,1,,,,,,,,,,,,
Colorado,CO,School,No,Antelope Trails Elementary School,Regular school,80192000123,,Regular local school district,801920,,,3/12/2021,4/1/2021,2,2,,,,,,,,,,,,,
Colorado,CO,School,No,Antonito High School,Regular school,80213000035,,Regular local school district,802130,,,3/9/2021,4/4/2021,4,4,,,,,,,,,,,,,
Colorado,CO,School,No,Aragon Elementary,Regular school,80408000566,,Regular local school district,804080,,,11/22/2020,12/30/2020,3,2,1,,,,,,,,,,,,
Colorado,CO,School,No,Arapahoe High School,Regular school,80531000873,,Regular local school district,805310,,,11/13/2020,12/22/2020,9,9,,,,,,,,,,,,,
Colorado,CO,School,No,Arapahoe High School,Regular school,80531000873,,Regular local school district,805310,,,4/28/2021,5/19/2021,13,13,,,,,,,,,,,,,
Colorado,CO,School,No,Arvada West High School,Regular school,80480000695,,Regular local school district,804800,,,10/21/2020,11/24/2020,7,7,,,,,,,,,,,,,
Colorado,CO,School,No,Arvada West High School,Regular school,80480000695,,Regular local school district,804800,,,3/9/2021,5/29/2021,25,25,,,,,,,,,,,,,
Colorado,CO,School,No,Ashbury Elementary School,Regular school,80336000307,,Regular local school district,803360,,,4/30/2021,5/23/2021,4,4,,,,,,,,,,,,,
