StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Kansas,KS,School,No,Campus High School,Regular school,2.01E+11,,Regular local school district,2007050,,Biweekly,11/11/2020,11/25/2020,,5,,,,,,,,,,,,,
Kansas,KS,School,No,Caney Valley High School,Regular school,2.00E+11,,Regular local school district,2004410,,Biweekly,10/28/2020,11/11/2020,,5,,,,,,,,,,,,,
Kansas,KS,School,No,Clay Center Community High School,Regular school,2.00E+11,,Regular local school district,2004890,,Biweekly,11/4/2020,11/18/2020,,9,,,,,,,,,,,,,
Kansas,KS,School,No,Derby Cooper Elementary School,Regular school,2.01E+11,,Regular local school district,2005460,,Biweekly,11/11/2020,11/25/2020,,7,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,2.01E+11,,Regular local school district,2005460,,Biweekly,10/21/2020,11/4/2020,,6,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,2.01E+11,,Regular local school district,2005460,,Biweekly,11/4/2020,11/18/2020,,10,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,2.01E+11,,Regular local school district,2005460,,Biweekly,11/11/2020,11/25/2020,,9,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,2.01E+11,,Regular local school district,2005460,,Biweekly,11/18/2020,12/2/2020,,11,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,2.01E+11,,Regular local school district,2005460,,Biweekly,12/2/2020,12/16/2020,,8,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,2.01E+11,,Regular local school district,2005460,,Biweekly,11/25/2020,12/9/2020,,8,,,,,,,,,,,,,
Kansas,KS,School,No,Derby High School,Regular school,2.01E+11,,Regular local school district,2005460,,Biweekly,10/28/2020,11/11/2020,,7,,,,,,,,,,,,,
Kansas,KS,School,No,Derby Middle School,Regular school,2.01E+11,,Regular local school district,2005460,,Biweekly,11/4/2020,11/18/2020,,10,,,,,,,,,,,,,
Kansas,KS,School,No,Derby Middle School,Regular school,2.01E+11,,Regular local school district,2005460,,Biweekly,11/11/2020,11/25/2020,,9,,,,,,,,,,,,,
Kansas,KS,School,No,Dodge City High School,Regular school,2.01E+11,,Regular local school district,2005580,,Biweekly,11/4/2020,11/18/2020,,18,,,,,,,,,,,,,
Kansas,KS,School,No,Dodge City High School,Regular school,2.01E+11,,Regular local school district,2005580,,Biweekly,11/11/2020,11/25/2020,,7,,,,,,,,,,,,,
Kansas,KS,School,No,Dodge City High School,Regular school,2.01E+11,,Regular local school district,2005580,,Biweekly,11/18/2020,12/2/2020,,6,,,,,,,,,,,,,
