StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,DistrictName,DistrictType,NCESDistrictID,County,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,NewCasesCombined,NewCasesStudents,NewCasesStaff,NewCasesUnknown,TwoWeekPeriodStaffStudentCasesCombined,TwoWeekPeriodCasesStudents,TwoWeekPeriodCasesStaff,CumulativeCasesCombined,CumulativeCasesStudents,CumulativeCasesStaff,CumulativeCasesUnknown,ActiveCasesStaff,ActiveCasesStudents,ActiveCasesUnknown,ActiveCasesCombined
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,9/23/2020,9/30/2020,,0,0,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,9/30/2020,10/7/2020,,0,0,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,10/7/2020,10/14/2020,,0,0,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,10/14/2020,10/21/2020,,1,0,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,10/21/2020,10/28/2020,,0,0,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,10/28/2020,11/4/2020,,1,0,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,11/4/2020,11/11/2020,,0,5,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,11/11/2020,11/18/2020,,0,3,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,11/18/2020,11/25/2020,,0,1,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,11/25/2020,12/2/2020,,0,0,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,12/2/2020,12/9/2020,,1,1,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,12/9/2020,12/16/2020,,0,1,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,12/16/2020,12/23/2020,,0,2,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,12/30/2020,1/6/2021,,0,0,,,,,,,,,,,,
Massachusetts,MA,District,Yes,,,,Abby Kelley Foster Charter Public (District),Charter agency,2500051,,Weekly,1/6/2021,1/13/2021,,0,0,,,,,,,,,,,,
